▲ Next.js 16.3.0 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.182:3000
- Environments: .env.local
✓ Ready in 917ms
✓ Running next.config.mjs took 40ms

○ Compiling / ...
 HEAD / 200 in 13.1s (next.js: 4.5s, proxy.ts: 4ms, application-code: 8.6s)
 HEAD / 200 in 13.0s (next.js: 4.4s, proxy.ts: 7ms, application-code: 8.6s)
 HEAD / 200 in 12.1s (next.js: 3.5s, proxy.ts: 9ms, application-code: 8.6s)
 HEAD / 200 in 12.4s (next.js: 3.8s, proxy.ts: 9ms, application-code: 8.6s)
 HEAD / 200 in 12.3s (next.js: 3.7s, proxy.ts: 4ms, application-code: 8.6s)
 HEAD / 200 in 12.3s (next.js: 3.7s, proxy.ts: 11ms, application-code: 8.6s)
 HEAD / 200 in 12.1s (next.js: 3.6s, proxy.ts: 6ms, application-code: 8.6s)
 HEAD / 200 in 12.0s (next.js: 3.5s, proxy.ts: 8ms, application-code: 8.5s)
 HEAD / 200 in 12.0s (next.js: 3.5s, proxy.ts: 5ms, application-code: 8.5s)
 HEAD / 200 in 11.9s (next.js: 3.4s, proxy.ts: 7ms, application-code: 8.5s)
 HEAD / 200 in 14.2s (next.js: 5.4s, proxy.ts: 375ms, application-code: 8.5s)
 HEAD / 200 in 14.2s (next.js: 5.4s, proxy.ts: 370ms, application-code: 8.5s)
 HEAD / 200 in 14.2s (next.js: 5.5s, proxy.ts: 215ms, application-code: 8.5s)
 HEAD / 200 in 14.2s (next.js: 5.6s, proxy.ts: 213ms, application-code: 8.5s)
 HEAD / 200 in 14.2s (next.js: 5.6s, proxy.ts: 208ms, application-code: 8.5s)
 HEAD / 200 in 14.2s (next.js: 5.4s, proxy.ts: 373ms, application-code: 8.5s)
 HEAD / 200 in 14.3s (next.js: 5.6s, proxy.ts: 217ms, application-code: 8.5s)
 HEAD / 200 in 11.9s (next.js: 3.4s, proxy.ts: 9ms, application-code: 8.4s)
 HEAD / 200 in 14.3s (next.js: 5.5s, proxy.ts: 345ms, application-code: 8.4s)
 HEAD / 200 in 14.3s (next.js: 5.5s, proxy.ts: 315ms, application-code: 8.4s)
 HEAD / 200 in 14.3s (next.js: 5.5s, proxy.ts: 320ms, application-code: 8.4s)
 HEAD / 200 in 14.3s (next.js: 5.5s, proxy.ts: 318ms, application-code: 8.4s)
 HEAD / 200 in 14.3s (next.js: 5.5s, proxy.ts: 323ms, application-code: 8.4s)
 HEAD / 200 in 14.3s (next.js: 5.5s, proxy.ts: 326ms, application-code: 8.4s)
 HEAD / 200 in 14.3s (next.js: 5.7s, proxy.ts: 226ms, application-code: 8.4s)
 HEAD / 200 in 14.3s (next.js: 5.6s, proxy.ts: 328ms, application-code: 8.4s)
 HEAD / 200 in 14.3s (next.js: 5.6s, proxy.ts: 329ms, application-code: 8.4s)
 HEAD / 200 in 14.3s (next.js: 5.6s, proxy.ts: 330ms, application-code: 8.3s)
 HEAD / 200 in 14.3s (next.js: 5.6s, proxy.ts: 327ms, application-code: 8.3s)
 HEAD / 200 in 14.3s (next.js: 5.6s, proxy.ts: 333ms, application-code: 8.3s)
 HEAD / 200 in 14.3s (next.js: 5.6s, proxy.ts: 334ms, application-code: 8.3s)
 HEAD / 200 in 14.3s (next.js: 5.6s, proxy.ts: 336ms, application-code: 8.3s)
 HEAD / 200 in 14.3s (next.js: 5.7s, proxy.ts: 294ms, application-code: 8.3s)
 HEAD / 200 in 14.3s (next.js: 5.6s, proxy.ts: 341ms, application-code: 8.3s)
 HEAD / 200 in 12.4s (next.js: 4.1s, proxy.ts: 7ms, application-code: 8.3s)
 HEAD / 200 in 14.3s (next.js: 5.7s, proxy.ts: 342ms, application-code: 8.3s)
 HEAD / 200 in 14.3s (next.js: 5.8s, proxy.ts: 316ms, application-code: 8.2s)
 HEAD / 200 in 14.3s (next.js: 5.8s, proxy.ts: 343ms, application-code: 8.2s)
 HEAD / 200 in 13.0s (next.js: 4.8s, proxy.ts: 6ms, application-code: 8.1s)
 HEAD / 200 in 14.3s (next.js: 5.8s, proxy.ts: 344ms, application-code: 8.1s)
 HEAD / 200 in 11.8s (next.js: 3.7s, proxy.ts: 4ms, application-code: 8.1s)
 HEAD / 200 in 11.7s (next.js: 3.6s, proxy.ts: 8ms, application-code: 8.1s)
 HEAD / 200 in 14.3s (next.js: 5.8s, proxy.ts: 362ms, application-code: 8.1s)
 HEAD / 200 in 11.7s (next.js: 3.6s, proxy.ts: 9ms, application-code: 8.1s)
 HEAD / 200 in 14.3s (next.js: 5.9s, proxy.ts: 347ms, application-code: 8.1s)
 HEAD / 200 in 14.3s (next.js: 5.9s, proxy.ts: 348ms, application-code: 8.0s)
 HEAD / 200 in 11.6s (next.js: 3.6s, proxy.ts: 4ms, application-code: 8.0s)
 HEAD / 200 in 14.3s (next.js: 5.9s, proxy.ts: 350ms, application-code: 8.0s)
 HEAD / 200 in 14.3s (next.js: 6.0s, proxy.ts: 352ms, application-code: 8.0s)
 HEAD / 200 in 11.6s (next.js: 3.6s, proxy.ts: 4ms, application-code: 8.0s)
 HEAD / 200 in 14.3s (next.js: 6.0s, proxy.ts: 354ms, application-code: 8.0s)
 HEAD / 200 in 11.5s (next.js: 3.5s, proxy.ts: 8ms, application-code: 7.9s)
 HEAD / 200 in 14.3s (next.js: 6.0s, proxy.ts: 358ms, application-code: 7.9s)
 HEAD / 200 in 14.3s (next.js: 6.1s, proxy.ts: 331ms, application-code: 7.9s)
 HEAD / 200 in 11.5s (next.js: 3.5s, proxy.ts: 10ms, application-code: 7.9s)
 HEAD / 200 in 14.3s (next.js: 6.1s, proxy.ts: 367ms, application-code: 7.9s)
 HEAD / 200 in 11.4s (next.js: 3.5s, proxy.ts: 5ms, application-code: 7.9s)
 HEAD / 200 in 14.3s (next.js: 6.1s, proxy.ts: 369ms, application-code: 7.9s)
 HEAD / 200 in 14.3s (next.js: 6.1s, proxy.ts: 338ms, application-code: 7.8s)
 HEAD / 200 in 14.3s (next.js: 6.1s, proxy.ts: 363ms, application-code: 7.8s)
